Hindi,English
जैसा,As
मैं,I
उसके,his
कि,That
वह,He
था,Was
के लिए,for
पर,On
हैं,Huh
साथ,with
वे,They
हो,Ho
पर,On
एक,One
है,is
इस,this
से,From
द्वारा,by
गरम,hot
शब्द,word
लेकिन,but
क्या,what
कुछ,some
है,is
यह,this
आप,you
या,or
था,Was
की,Of
तक,till
और,And
एक,One
में,In
हम,We
कर सकते हैं,can do
बाहर,outside
अन्य,other
थे,Were
जो,that
कर,Tax
उनके,Their
समय,Time
अगर,if
होगा,Will happen
कैसे,how
कहा,said
एक,One
प्रत्येक,Everyone
बता,Tell
करता है,Does
सेट,Set
तीन,three
चाहते हैं,Want
हवा,air
अच्छी तरह से,properly
भी,Too
खेलने,Play
छोटे,Small
अंत,the ending
डाल,Branch
घर,House
पढ़ा,Read
हाथ,hand
बंदरगाह,Harbour
बड़ा,big
जादू,Magic
जोड़,Joint
और भी,and also
भूमि,Earth
यहाँ,here
चाहिए,needed
बड़ा,big
उच्च,High
ऐसा,Like this
का पालन करें,Follow
अधिनियम,Act
क्यों,Why
पूछना,ask
पुरुषों,Men
परिवर्तन,Change
चला गया,gone
प्रकाश,Light
तरह,Kind
बंद,Close
आवश्यकता,requirement
घर,House
तस्वीर,Photo
कोशिश,try
हमें,Us
फिर,Again
पशु,Animal
बिंदु,Point
मां,Mother
दुनिया,world
निकट,Close
बनाना,to make
आत्म,Self
पृथ्वी,Earth
पिता,Father
किसी भी,any
नई,New
काम,work
हिस्सा,Part
लेना,to take
प्राप्त,get
जगह,place
निर्मित,Made
जीना,Live
जहां,where
के बाद,after
वापस,back
थोड़ा,Little
केवल,In college
दौर,Round
आदमी,man
वर्ष,The year
आया,He Came
शो,Show
हर,every
अच्छा,good
मुझे,me
दे,Give
हमारे,our
नीचे,bottom
नाम,Name
बहुत,very
के माध्यम से,Through this
बस,enough
फार्म,Farm
वाक्य,Sentence
महान,great
लगता है,looks like
कहना,tell
मदद,help
कम,Less
रेखा,Line
अलग,Apart
बारी,Turn
कारण,reason
ज्यादा,more
मतलब,meaning
पहले,first
चाल,Trick
सही,right
लड़का,Boy
पुराना,old
भी,Too
वही,the same
वह,He
सब,All
वहाँ,there
जब,when
ऊपर,up
उपयोग,Use
अपने,Ours
रास्ता,way
के बारे में,about
कई,many
तो,so
उन्हें,them
लिखना,To write
होगा,Will happen
जैसा,As
तो,so
इन,In
उसके,his
लंबे समय तक,for a long time
कर,Tax
बात,talk
देखना,To see
उसे,Him
दो,two
है,is
देखो,Look
अधिक,more
दिन,day
सकता है,Could
जाना,go
आ,come
किया,did
संख्या,Number
ध्वनि,Sound
नहीं,No
सबसे,from all
लोग,People
मेरे,my
अधिक,more
पता,Address
पानी,Water
से,From
कॉल,Call
पहले,first
कौन,Who
मई,May
नीचे,bottom
पक्ष,side
गया,Gone
अब,Now
लगता है,looks like
सिर,Head
खड़े,Stand
खुद,Myself
पेज,Page
चाहिए,needed
देश,Country
पाया,Found
जवाब,answer
स्कूल,school
बढ़ने,Grow
अध्ययन,study
अब तक,till now
सीखना,learn
संयंत्र,plant
कवर,Cover
भोजन,food
सूरज,Sun
चार,Four
के बीच,in between
राज्य,state
रखना,to keep
आंख,Eye
कभी नहीं,never
पिछले,last
चलो,Let's go
सोचा,Think
शहर,city
पेड़,Tree
पार,Beyond
खेत,Farm
कठिन,Hard
शुरुआत,Beginning
हो सकता है,It is possible
कहानी,story
देखा,saw
दूर,away
समुद्र,sea
आकर्षित,Attract
छोड़ा,Left
देर से,late
चलाने,Run
ऐसा नहीं,It
जबकि,whereas
प्रेस,Press
करीब,near
रात,night
असली,Real
जीवन,life
कुछ,some
उत्तर,answer
किताब,book
ले,Take
ले लिया,Got it
विज्ञान,Science
खाने,Eat
कमरे,rooms
दोस्त,friend
शुरू हुआ,started
विचार,idea
मछली,fish
पहाड़,the mountain
रोक,Stop
एक बार,Once
आधार,base
सुनना,Listen
घोड़ा,Horse
कटौती,Deduction
यकीन,believe
घड़ी,Watch
रंग,colour
चेहरा,Face
लकड़ी,wood
मुख्य,Main
खुला,Open
प्रतीत,Appears
एक साथ,Together
अगला,next
सफेद,White
बच्चों,Children
प्रारंभ करना,to begin
मिला,met
चलना,to walk
उदाहरण,Examples
आसानी,Easily
कागज,Paper
समूह,group
सदैव,Always
संगीत,music
उन,Those
दोनों,Both
मार्क,Mark
अक्सर,often
पत्र,Letter
जब तक,Unless
मील,Mile
नदी,River
कार,car
पैर,Leg
देखभाल,Care
दूसरा,Second
पर्याप्त,Enough
सादे,Plain
लड़की,girl
हमेशा की तरह,as always
युवा,Young
तैयार,ready
ऊपर,up
कभी,sometimes
लाल,Red
सूची,List
हालांकि,although
लग रहा है,It seems
वार्ता,Talks
पक्षी,Bird
शीघ्र,Early
शरीर,the body
कुत्ते,dogs
परिवार,family
प्रत्यक्ष,Evident
ढोंग,Pose
छोड़,leave
गीत,song
नाप,Measure
दरवाजा,door
उत्पाद,Product
काला,Black
कम,Less
अंक,numbers
क्लास,Class
हवा,air
सवाल,Question
होना,Happen
पूरा,whole
जहाज,ship
क्षेत्र,Area
आधा,Half
रॉक,Rock
आदेश,order
आग,Fire
दक्षिण,South
समस्या,Problem
टुकड़ा,Piece
बताया,Told
पता था,Knew
पास,near
के बाद से,since from
शीर्ष,Top
पूरे,The
राजा,King
सड़क,road
इंच,Inch
गुणा,Multiplication
कुछ नहीं,nothing
कोर्स,Course
रहना,live
पहिया,the wheel
पूर्ण,complete
बल,Force
नीला,Blue
वस्तु,thing
तय,decide
सतह,Surface
गहरा,Deep
चांद,Phoebe
द्वीप,Island
पैर,Leg
प्रणाली,system
व्यस्त,Busy
परीक्षण,testing
रिकॉर्ड,Record
नाव,boat
आम,Mango
सोना,Gold
संभव,possible
विमान,Aeroplane
जगह,place
सूखा,Dry
आश्चर्य,Surprise
हंसी,Laugh
हजार,Thousand
पहले,first
भागा,Ran
जाँच,Check
खेल,sport
आकार,Shape
समानता,Equality
गरम,hot
मिस,Miss
लाया,Brought
गर्मी,heat
बर्फ,ice
टायर,Tire
लाना,bring
हां,Yes
दूर,away
भरने,Filling
पूर्व,East
रंग,colour
भाषा,Language
के बीच,in between
इकाई,Unit
बिजली,Lightning
शहर,city
ठीक,Fine
कुछ,some
मक्खी,fly
गिरावट,Collapse
नेतृत्व,Leadership
रोना,crying
अंधेरा,dark
मशीन,machine
नोट,note
इंतजार,waiting
योजना,Plan
आंकड़ा,the figure
सितारा,Star
बॉक्स,Box
संज्ञा,Noun
क्षेत्र,Area
बाकी,the rest
सही,right
सक्षम,capable
पाउंड,Pound
किया,did
सुंदरता,Beauty
ड्राइव,Drive
खड़ा हुआ,stood up
होते हैं,Are
सामने,Front
सिखाना,to teach
सप्ताह,Week
अंतिम,The last
दिया,gave
हरे रंग,Green
ओह,"Oh, is that so"
त्वरित,hurried up
विकसित,Developed
सागर,sea
गर्म,Hot
मुक्त,Free
मिनट,Minute
मजबूत,strong
विशेष,special
मन,Mind
पीछे,behind
स्पष्ट,clear
पूंछ,Tail
उत्पादन,production
तथ्य,Fact
अंतरिक्ष,Space
सुना,Heard
सर्वश्रेष्ठ,the best
घंटे,Hours
बेहतर,Better
सच,truth
दौरान,During
सौ,Hundred
पांच,Five
याद,remember
कदम,Step
शीघ्र,Early
पकड़,Hold
पश्चिम,West
जमीन,land
ब्याज,Interest
तक पहुँचने,to reach
तेजी,Fast
क्रिया,Verb
गाना,song
सुनो,listen
छह,Six
तालिका,Table
यात्रा,journey
कम,Less
सुबह,morning
दस,ten
सरल,easy
कई,many
स्वर,Vowel
की ओर,towards
युद्ध,War
रखना,to keep
के खिलाफ,against
पैटर्न,Pattern
धीमी,Slow
केंद्र,center
प्यार,love
व्यक्ति,person
धन,money
सेवा कर,service tax
प्रकट,Revealed
सड़क,road
नक्शा,Map
बारिश,rain
नियम,Rule
शासन,Governance
खींच,Pull
ठंड,Cold
नोटिस,Notice
आवाज,Voice
ऊर्जा,Energy
शिकार,Prey
संभावित,Potential
बिस्तर,bed
भाई,brother
अंडा,Egg
सवारी,Ride
सेल,Cell
विश्वास है,believe
शायद,Maybe
उठाओ,pick up the
अचानक,suddenly
गिनती,Count
वर्ग,category
कारण,reason
लंबाई,Length
का प्रतिनिधित्व,representation of
कला,art
विषय,Subject
क्षेत्र,Area
आकार,Shape
भिन्न हो,different
बसा,Settle
बोलना,to speak
वजन,Weight
सामान्य,Normal
बर्फ,ice
मामला,matter
वृत्त,circle
जोड़ी,pair
शामिल,Include
विभाजन,the division
शब्दांश,syllable
लगा,felt
भव्य,Gorgeous
गेंद,Ball
अभी तक,Till now
लहर,Wave
ड्रॉप,Drops
दिल,heart
AM,AM
वर्तमान,Present
भारी,Heavy
नृत्य,Dance
इंजन,Engine
स्थिति,Event
बांह,Arm
विस्तृत,Detailed
स्टील अथॉरिटी ऑफ इंडिया,Steel Authority of India
सामग्री,material
अंश,Part
वन,Forest
बैठना,Sit
दौड़,Race
खिड़की,Window
दुकान,shop
गर्मियों,Summer
सफर,Travel
नींद,Sleep
साबित,Proven
लोन,Loan
पैर,Leg
व्यायाम,work out
दीवार,Wall
पकड़,Hold
माउंट,Mt.
इच्छा,desire
आसमान,sky
बोर्ड,Board
हर्ष,Joy
सर्दियों,Winter
शनि,Saturn
लिखित,written record
जंगली,Wild
साधन,Resources
रखा,Placed
कांच,Glass
घास,Grass
गाय,cattle
काम,work
बढ़त,Lead
साइन,Sign
यात्रा,journey
अतीत,Past
मुलायम,Soft
मज़ा,Fun
उज्ज्वल,Bright
गैस,Gas
मौसम,weather
माह,Month
लाख,lakh
भालू,Bear
खत्म,Over
खुश,Happy
आशा,hope
फूल,flower
कपड़े,dresses
अजीब,strange
चला गया,gone
व्यापार,business
राग,Melody
यात्रा,journey
कार्यालय,Office
प्राप्त करना,Receiving
पंक्ति,Line
मुंह,mouth
सटीक,exact
प्रतीक,symbol
मरना,die
कम से कम,at least
मुसीबत,problem
चिल्लाओ,yell out
सिवाय,Except
लिखा,Wrote
बीज,seed
स्वर,Vowel
शामिल होने,Joining
सुझाव है,suggestion
साफ,clean
तोड़,the break
महिला,Female
यार्ड,Yard
वृद्धि,Growth
बुरा,Bad
झटका,Blow
तेल,oil
खून,Blood
स्पर्श,Touch
बढ़ी,Enhanced
प्रतिशत,Percent
मिश्रण,Mix
टीम,Team
तार,Wire
लागत,Cost
खोया,Lost
ब्राउन,Brown
पहनना,to put on
बगीचा,garden
बराबर,equal
भेजा,Sent
चयन,Selection
गिर गया,fell down
फिट,Fit
प्रवाह,Flow
मेला,fair
बैंक,Bank
इकट्ठा,Gathered
बचा,Save
नियंत्रण,Control
दशमलव,Decimal
कान,ear
बाकी,the rest
काफी,enough
तोड़ दिया,broke
मामले,Case
बीच,between
हत्या,the killing
बेटा,son
झील,Lake
पल,moment
पैमाने,Scale
जोर,Thrust
वसंत,Spring
निरीक्षण,inspection
बच्चे,children
सीधे,Straight
व्यंजन,dishes
राष्ट्र,Nation
शब्दकोश,Dictionary
दूध,Milk
गति,Speed
विधि,Method
अंग,Organ
भुगतान,payment
उम्र,Ages
अनुभाग,Section
पोशाक,Dress
बादल,cloud
आश्चर्य,Surprise
शांत,Calm
पत्थर,stone
छोटे,Small
चढ़ाई,Climb
शीतल,soft
डिजाइन,Design
गरीब,poor
बहुत,very
प्रयोग,Experiment
तल,Bottom
कुंजी,Key
लोहा,iron
एकल,Solo
छड़ी,Stick
फ्लैट,Flat
बीस,Twenty
त्वचा,Skin
मुस्कान,smile
क्रीज,Crease
छेद,Hole
कूद,Sports
बच्चे,children
आठ,Eight
गांव,Village
मिलो,Meet
जड़,Root
खरीद,Purchase
उठाना,pick up
हल,solution
धातु,Metal
चाहे,Whether
धक्का,Push
सात,Seven
पैरा,Para
तीसरे,Third
करेगा,Will
आयोजित,Held
बाल,child
वर्णन,Description
कुक,Cook
मंजिल,Floor
भी,Too
परिणाम,result
जला,Burn
पहाड़ी,Hill
सुरक्षित,Safe
बिल्ली,cat
सदी,century
विचार करना,to think
प्रकार,type
कानून,Law
बिट,Bit
तट,Coast
नकल,Copy
वाक्यांश,Phrases
चुप,quiet
लंबा,long
रेत,Sand
मिट्टी,soil
रोल,Roll
तापमान,Temperature
उंगली,Finger
उद्योग,Industry
मूल्य,value
लड़ाई,fight
झूठ,lie
हरा,Green
उत्तेजित,Excited
प्राकृतिक,Natural
देखें,View
भावना,feeling
राजधानी,Capital
नहीं होगा,Will not done
कुर्सी,chair
खतरे,Danger
फल,Fruit
अमीर,rich
मोटी,fat
सैनिक,Soldier
प्रक्रिया,process
संचालित,Operated
अभ्यास,Practice
अलग,Apart
मुश्किल,Difficult
चिकित्सक,Doctor
कृपया,please
रक्षा,Defence
दोपहर,afternoon
फसल,crop
आधुनिक,modern
तत्व,Element
मारना,killing
छात्र,student
कोने,Corner
पार्टी,party
आपूर्ति,Supply
जिसका,Which
स्थिति जानें,Locate
अंगूठी,ring
चरित्र,Character
कीट,Insect
पकड़ा,Caught
अवधि,Period
संकेत मिलता है,Indicate
रेडियो,radio
बात,talk
एटम,Atom
मानव,human
इतिहास,History
प्रभाव,effect
बिजली,Lightning
उम्मीद,expectation
हड्डी,Bone
रेल,rail
कल्पना,imagination
प्रदान,Provided
सहमत,Agreeable
इस प्रकार,Like this
कोमल,Gentle
महिला,Female
कप्तान,Captain
अनुमान,an estimate
आवश्यक,Required
तेज़,Fast
पंख,wing
बना,Make
पड़ोसी,Neighbor
धोने,Wash
बल्ला,Bat
बल्कि,Rather
भीड़,crowd
मकई,Corn
तुलना,Compare
कविता,poem
स्ट्रिंग,String
बेल,Vine
निर्भर,Dependent
मांस,Meat
रगड़,Rub
ट्यूब,Tube
प्रसिद्ध,famous
डॉलर,Dollar
धारा,section
डर,Fear
दृष्टि,vision
पतली,Thin
त्रिकोण,Triangle
ग्रह,Planet
जल्दी करो,hurry up
प्रमुख,Chief
कॉलोनी,Colony
घड़ी,Watch
मेरा,my
टाई,Tie
दर्ज,Enter
प्रमुख,Chief
ताजा,Fresh
खोज,Search
भेजें,Or
पीले,Yellow
बंदूक,gun
की अनुमति,permission of
प्रिंट,Print
मृत,Dead
हाजिर,Spot
रेगिस्तान,Desert
सूट,Suit
वर्तमान,Present
लिफ्ट,the lift
गुलाब,Rose
पहुंचना,Reach
मास्टर,master
ट्रैक,Track
माता पिता,mother-father
किनारे,Shore
विभाजन,the division
चादर,bed sheet
पदार्थ,matter
एहसान,favor
कनेक्ट,Connect
पोस्ट,Post
खर्च,Expenditure
राग,Melody
वसा,Fat
प्रसन्न,Glad
मूल,Original
शेयर,share
स्टेशन,station
पिता,Father
रोटी,bread
चार्ज,Charge
उचित,Suitable
बार,times
प्रस्ताव,Proposal
खंड,Section
गुलाम,Slaves
बतख,Duck
पल,moment
बाजार,market
डिग्री,Degree
आबाद,Manned
लड़की,girl
प्रिय,Dear
दुश्मन,enemy
उत्तर,answer
पेय,Beverages
घटित,happened
समर्थन,Support
भाषण,speech
प्रकृति,Nature
सीमा,Limit
भाप,Steam
प्रस्ताव,Proposal
पथ,Path
तरल,Liquid
लॉग इन करें,log in
मतलब,meaning
भागफल,Quotient
दांत,Teeth
खोल,Shell
गर्दन,Neck
ऑक्सीजन,Oxygen
चीनी,sugar
मौत,Death
सुंदर,beautiful
कौशल,skill
महिलाओं,Women
मौसम,weather
समाधान,Solution
चुंबक,Magnet
चांदी,silver
धन्यवाद,Thank you
शाखा,Branch
मैच,Match
प्रत्यय,suffix
विशेष रूप से,Specially
अंजीर,Fig
डर,Fear
भारी,Heavy
बहन,sister
स्टील,Steel
चर्चा,Discussion
आगे,ahead
इसी तरह,Similarly
गाइड,Guide
अनुभव,experience
स्कोर,Score
सेब,Apple
खरीदा,Bought
नेतृत्व,Leadership
पिच,Pitch
कोट,Coat
सामूहिक,the collective
कार्ड,Card
बैंड,Band
रस्सी,rope
पर्ची,slip
जीत,win
सपना,dream
शाम,evening
शर्त,Bet
फ़ीड,Feed
उपकरण,equipment
संपूर्ण,all
बुनियादी,Basic
गंध,Odor
घाटी,Valley
और न ही,Nor
डबल,Double
सीट,Seat
जारी रखने के,to continue
खंड,Section
चार्ट,Chart
टोपी,hat
बेचने,Sell
सफलता,Success
कंपनी,company
घटाना,Subtract
घटना,incident
विशेष,special
सौदा,Deal
तैरना,swimming
अवधि,Period
विपरीत,Adverse
पत्नी,wife
जूता,shoe
कंधे,Shoulder
प्रसार,proliferation
व्यवस्था,the arrangement
शिविर,Camp
आविष्कार,Invention
कपास,Cotton
Born,Born
निर्धारित,Determined
चौथाई गेलन,Quart
नौ,Nine
ट्रक,Truck
शोर,Noise
स्तर,Level
संयोग,a coincidence
इकट्ठा,Gathered
दुकान,shop
खिंचाव,Stretch
फेंक,Throw
चमक,Glow
संपत्ति,Property
स्तंभ,Column
अणु,Molecule
चयन,Selection
गलत,wrong
ग्रे,Gray
दोहराना,Repeat
आवश्यकता,requirement
विस्तृत,Detailed
तैयार,ready
नमक,Salt
नाक,nose
बहुवचन,Plural
क्रोध,Anger
दावा,Claim
महाद्वीप,Continent